latitude,longitude
23.1019347,120.2077137
23.1124449,120.1733631
23.1006418,120.1271727
23.1786375,120.1430592
23.1634839,120.1782215
23.1518152,120.1753037
23.1287452,120.2276251
23.1644692,120.1676952
22.999105,120.167587
23.1631203,120.1685839
23.1284683,120.1546002
23.1284683,120.1546002
23.560288,120.3009504
23.125611,120.2065525
23.0874301,120.1845509
23.108352,120.184549
23.1207622,120.1849082
23.1257853,120.1993381
23.1195733,120.2016138
23.1342478,120.2320144
23.1352227,120.2284128
23.120352,120.102809
23.1006418,120.1271727
22.9563522,120.1877943
23.1019569,120.1200311
23.10222,120.117123
23.0791864,120.0530959
23.0791864,120.0530959
23.1588586,120.1741077
23.1617528,120.1813644
23.1107075,120.1560436
23.1798186,120.1742829
23.109158,120.193799
23.1613418,120.1550078
23.1613418,120.1550078
23.1585118,120.1807296
38.97607,114.37559
23.1678819,120.1906803
23.1728856,120.196921
23.1856698,120.19214
23.1694465,120.1704766
23.1634281,120.1824008
23.192832,120.1805789
23.192832,120.1805789
23.1154056,120.1943265
23.1195166,120.1011836
23.1035949,120.1387218
23.0945482,120.1316448
24.2008925,120.5152895
23.156323,120.105206
23.1581551,120.1813214
23.140875,120.228762
23.1518152,120.1753037
23.1257853,120.1993381
23.1206666,120.131713
23.1694465,120.1704766
23.1486375,120.1730082
23.1286504,120.2053585
23.1292453,120.144496
23.1694465,120.1704766
23.1325315,120.2310784
23.1634839,120.1782215
23.1694465,120.1704766
23.1457093,120.1524351
23.1644692,120.1676952
23.1206666,120.131713
23.1235507,120.2044752
23.1694465,120.1704766
23.4984993,120.4507061
23.1694465,120.1704766
23.1602492,120.1748872
23.1206666,120.131713
23.1798383,120.0954076
23.1257853,120.1993381
23.1257853,120.1993381
23.1603448,120.1768687
23.1451339,120.0895576
23.1694465,120.1704766
23.1712084,120.1756562
23.1910774,120.188473
23.1019347,120.2077137
23.1483288,120.1749065
23.1574,120.1761714
23.1206666,120.131713
23.1706712,120.1717579
23.3122462,120.1300601
23.1900666,120.161817
23.1982988,120.1546002
23.2200538,120.1213978
23.2333335,120.1783481
23.2091205,120.1733631
23.221351,120.134391
23.2255268,120.1739011
23.2549474,120.1718828
23.1950904,120.086743
23.2092881,120.0976153
23.2845247,120.1213978
23.270936,120.122114
23.3486991,120.1791486
23.3486991,120.1791486
24.2008925,120.5152895
23.2322724,120.1839144
23.2553798,120.1704766
23.2689137,120.144496
23.2027432,120.1571077
23.226773,120.1874983
23.2941931,120.1647036
23.289733,120.201035
23.2379926,120.1779003
23.2373923,120.1803014
23.1900666,120.161817
23.2067064,120.1401654
23.2500794,120.2017466
23.2553798,120.1704766
23.2500794,120.2017466
23.2406874,120.1861647
23.2297702,120.1762553
23.2322724,120.1839144
23.2397168,120.1788253
23.2010757,120.1286164
23.1440763,120.3271056
23.1268739,120.3196848
35.8482365,139.777993
23.1357416,120.288909
23.0727781,120.2599266
23.0821525,120.2309195
23.0751601,120.2642967
23.0622821,120.2817282
