停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,D00075,南寧街(路邊停車格),  慶中街口-夏林路口   ,,-1,0,77,3,0,0,0,0,,20元/時 ☆剩餘格位:0,22.984909，120.203308,,22.984909,120.203308
路邊停車格收費路段,D00076,五妃街-1(路邊停車格),  永福路口-慶中街口   ,,-1,0,63,3,0,0,0,0,,20元/時 ☆剩餘格位:33,22.982611，120.204697,,22.982611,120.204697
路邊停車格收費路段,D00077,忠義路-1(路邊停車格),  健康路口-府前路口兩側   ,,-1,0,74,1,0,0,0,0,,20元/時 ☆剩餘格位:31,22.987841，120.201797,,22.987841,120.201797
路邊停車格收費路段,D00078,永福路-1(路邊停車格),  健康路口-府前路口兩側   ,,-1,0,48,1,0,0,0,0,,20元/時 ☆剩餘格位:8,22.983144，120.201742,,22.983144,120.201742
路邊停車格收費路段,D00079,永福路-2(路邊停車格),  府前路口-民生路口兩側   ,,-1,0,24,1,0,0,0,0,,20元/時 ☆剩餘格位:4,22.993030，120.201088,,22.99303,120.201088
路邊停車格收費路段,D00080,南門路-3(路邊停車格),  南寧街口-五妃街口兩側   ,,-1,0,45,0,0,0,0,0,,20元/時 ☆剩餘格位:24,22.983709，120.203934,,22.983709,120.203934
路邊停車格收費路段,D00081,慶平路-1(路邊停車格),  建平路口-文平路口兩側   ,,-1,0,62,3,0,0,0,0,,20元/時 ☆剩餘格位:18,22.996927，120.181875,,22.996927,120.181875
路邊停車格收費路段,D00082,文平路(路邊停車格),  健康路口-建平17街口兩側   ,,-1,0,177,0,0,0,0,0,,20元/時 ☆剩餘格位:11,22.991001，120.178360,,22.991001,120.17836
路邊停車格收費路段,D00083,和意路(路邊停車格),  永福路口-西門路口兩側   ,,-1,0,27,0,0,0,0,0,,20元/時 ☆剩餘格位:4,22.988415，120.198980,,22.988415,120.19898
路邊停車格收費路段,D00084,公園南路-2(路邊停車格),  公園路口-臨安路口兩側   ,,-1,0,46,0,0,0,0,0,,20元/時 ☆剩餘格位:2,23.002371，120.203919,,23.002371,120.203919
路邊停車格收費路段,D00085,大同路-3(路邊停車格),  健康路口-生產路口兩側   ,,-1,0,101,3,0,0,0,0,,20元/時 ☆剩餘格位:5,22.978230，120.213509,,22.97823,120.213509
路邊停車格收費路段,D00086,大同路-5(路邊停車格),  生產路至保仁路間   ,,-1,0,70,1,0,0,0,0,,20元/時 ☆剩餘格位:71,22.964097，120.216414,,22.964097,120.216414
